Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[151.99036 153.2377  153.84264]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[130.54897 131.0151  131.10965]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[151.99036 153.2377  153.84264]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[130.06085 130.86143 130.85208]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[125.124016 125.86615  125.94136 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[166.3737  167.86783 167.84691]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[146.258   147.72644 148.22029]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[165.31981 167.61557 167.3372 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[145.32393 147.50253 147.76697]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[143.82893 145.98456 146.23994]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 2, q values: [[177.46828 180.38246 180.45776]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[193.16101 195.91411 195.29953]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[176.59048 180.20703 180.196  ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[175.33542 178.91234 178.92348]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[190.58961 193.33286 192.75801]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[174.60518 178.8158  178.4807 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[141.82056 145.04825 144.94777]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[174.60518 178.8158  178.4807 ]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[141.82056 145.04825 144.94777]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[140.095   143.85062 143.46861]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[172.19371 177.0183  176.35687]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[140.095   143.85062 143.46861]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[172.19371 177.0183  176.35687]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[186.97308 191.5171  190.18855]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[171.50314 176.67342 175.92598]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[170.47122 175.609   174.87393]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 2, q values: [[169.51714 174.6247  173.89813]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[181.60704 186.30731 185.20839]], Reward:1
Episode: 12, Policy: Exploitation, Action Index: 1, q values: [[169.28043 174.53194 173.90288]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 1, q values: [[138.3864  142.53111 142.13629]], Reward:1
Episode: 12, Policy: Exploration, Action Index: 0, q values: [[154.42613 158.79295 158.47414]], Reward:-10
