Episode: 28, Policy: Exploration, Action Index: 2, q values: [[120.71528 119.89614 118.91237]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[106.70703 106.19243 105.33551]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[107.21345  106.36217  105.894165]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[119.90642 118.70749 118.2335 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[107.21345  106.36217  105.894165]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[119.90642 118.70749 118.2335 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[118.36397 116.7218  116.70814]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[116.74747 115.13633 115.13107]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[114.80239  113.264984 113.26607 ]], Reward:-3
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[112.71845 111.21884 111.23331]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[85.529526 84.31797  84.45347 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[112.71869  110.878525 111.15613 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[110.78634 109.02413 109.28233]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[108.54831 106.84366 107.10196]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[106.34711 104.28614 104.77097]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[104.61182 102.64566 103.14165]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[102.85715 100.98952 101.47516]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[90.13995 88.87846 89.43436]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[86.82442  85.45455  86.036896]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[85.42561 84.12653 84.72231]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[82.625046 81.52089  82.10293 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[91.969955 90.06518  90.58172 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[88.64089 86.58287 87.14929]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[115.115875 111.92486  112.49322 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[113.47752  110.36074  110.928406]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[111.51821  108.48361  109.032196]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[108.99518  105.88595  106.452095]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[87.11122  84.88657  85.424484]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[86.05164 83.8648  84.42957]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[85.726105 83.52799  84.10637 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[83.338005 81.11309  81.84185 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[88.943054 86.92513  87.39387 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[86.88342  84.943474 85.41141 ]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[79.50691  77.515144 78.24655 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[80.24514  77.97677  78.769455]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[98.241394 95.016174 95.78557 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[96.281784 93.155655 93.94222 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[79.86034 77.72247 78.54655]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 0, q values: [[79.31484 77.23308 78.16789]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 1, q values: [[76.85141  74.985306 75.888954]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[91.460075 88.573975 89.52458 ]], Reward:1
Episode: 28, Policy: Exploration, Action Index: 2, q values: [[89.14251 86.38376 87.33483]], Reward:1
Episode: 28, Policy: Exploitation, Action Index: 0, q values: [[77.16346  75.233444 76.24142 ]], Reward:1
