Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[187.22658 186.12013 184.67339]], Reward:-3
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[182.13226 181.03241 179.65253]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[231.13773 230.10703 228.64923]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[228.3986  227.40422 225.97188]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[179.53326 177.7062  176.17403]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[166.26434 165.56085 164.49197]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 2, q values: [[179.55797 178.08849 176.914  ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[166.26434 165.56085 164.49197]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[162.0244  160.53664 159.55223]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[159.85678 158.41656 157.44   ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[156.327   155.03511 154.10849]], Reward:-3
Episode: 14, Policy: Exploration, Action Index: 0, q values: [[154.76572 153.47986 152.56714]], Reward:-3
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[151.39977 149.61143 148.82162]], Reward:-3
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[149.92053 148.1457  147.3671 ]], Reward:-3
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[148.43446 146.67444 145.90912]], Reward:1
Episode: 14, Policy: Exploration, Action Index: 1, q values: [[146.93295 145.18356 144.43608]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[152.22867 150.01529 149.24034]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[150.42921 148.27707 147.4822 ]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[148.76808 146.65    145.84595]], Reward:1
Episode: 14, Policy: Exploitation, Action Index: 0, q values: [[147.2336  145.14389 144.3261 ]], Reward:-10
